order_id,worker_id,estimated_profit
39217,3121,42.06821
39217,3124,45.06486
39217,3363,41.51084
39217,3364,41.63811
39217,3562,42.03021
39217,3970,41.96929
39217,3986,41.02311
39217,4044,46.57464
39217,4244,42.16686
39217,1048,41.51294
46124,58,46.67546
46124,110,46.70095
46124,149,47.76146
46124,411,46.95328
46124,475,48.03676
46124,770,47.9114
46124,772,47.44846
46124,813,47.36643
46124,935,47.72214
46124,976,44.25219
46124,1057,44.10157
46124,1072,47.85661
46124,1096,46.64135
46124,1121,48.03825
46124,1279,48.15115
46124,1339,48.11864
46124,1493,44.48857
46124,1511,47.93228
46124,1534,43.1163
46124,1751,46.73919
46124,1886,46.61248
46124,2129,45.91563
46124,2253,48.11884
46124,2318,48.06218
46124,2353,47.58025
46124,2679,46.63742
46124,2971,46.6585
46124,3026,47.52406
46124,3036,46.2735
46124,3114,46.9482
46124,3121,46.59872
46124,3124,44.29267
46124,3363,48.15067
46124,3364,46.58337
46124,3562,46.59914
46124,3970,47.5818
46124,3986,47.30906
46124,4044,41.92546
46124,4244,46.83118
46124,1048,46.14567
42551,58,47.70429
42551,110,47.73006
42551,149,48.8383
42551,411,48.00225
42551,475,49.11539
42551,770,48.99036
42551,772,48.52651
42551,813,48.44298
42551,935,48.77017
42551,976,45.25233
42551,1057,45.02505
42551,1072,48.93555
42551,1096,47.70849
42551,1121,49.11722
42551,1279,49.15769
42551,1339,49.16739
42551,1493,45.50867
42551,1511,49.01103
42551,1534,44.13815
42551,1751,47.77925
42551,1886,47.63901
42551,2129,46.95192
42551,2253,49.1748
42551,2318,49.14102
42551,2353,48.65718
42551,2679,47.66604
42551,2971,47.68777
42551,3026,48.40378
42551,3036,47.15194
42551,3114,47.99679
42551,3121,47.62462
42551,3124,45.23842
42551,3363,49.18022
42551,3364,47.63123
42551,3562,47.62716
42551,3970,48.45887
42551,3986,48.38788
42551,4044,42.85483
42551,4244,47.84644
42551,1048,47.029
52331,58,41.74414
52331,110,41.76991
52331,149,42.87815
52331,411,42.0421
52331,475,43.15525
52331,770,43.03021
52331,772,42.56636
52331,813,42.48284
52331,935,42.81002
52331,976,39.29219
52331,1057,39.0649
52331,1072,42.9754
52331,1096,41.74834
52331,1121,43.15707
52331,1279,43.19754
52331,1339,43.20724
52331,1493,39.54853
52331,1511,43.05088
52331,1534,38.178
52331,1751,41.8191
52331,1886,41.67886
52331,2129,40.99177
52331,2253,43.21466
52331,2318,43.18087
52331,2353,42.69704
52331,2679,41.7059
52331,2971,41.72762
52331,3026,42.44363
52331,3036,41.19179
52331,3114,42.03664
52331,3121,41.66448
52331,3124,39.27827
52331,3363,43.22007
52331,3364,41.67108
52331,3562,41.66701
52331,3970,42.49873
52331,3986,42.42773
52331,4044,36.89468
52331,4244,41.88629
52331,1048,41.06885
10635,58,45.45137
10635,110,45.47689
10635,149,46.53063
10635,411,45.73089
10635,475,46.80982
10635,770,46.68343
10635,772,46.21886
10635,813,46.13532
10635,935,46.47846
10635,976,43.02374
10635,1057,42.85504
10635,1072,46.62858
10635,1096,45.40449
10635,1121,46.81058
10635,1279,46.92889
10635,1339,46.8955
10635,1493,43.26322
10635,1511,46.70363
10635,1534,41.89115
10635,1751,45.5162
10635,1886,45.38811
10635,2129,44.69225
10635,2253,46.89503
10635,2318,46.83474
10635,2353,46.34948
10635,2679,45.4133
10635,2971,45.43445
10635,3026,46.25947
10635,3036,45.00784
10635,3114,45.72579
10635,3121,45.37428
10635,3124,43.05246
10635,3363,46.92623
10635,3364,45.3609
10635,3562,45.37494
10635,3970,46.31484
10635,3986,46.08251
10635,4044,40.68064
10635,4244,45.6054
