order_id,worker_id,estimated_profit
36381,1886,10.61983
36381,2129,9.89497
36381,2253,9.56403
36381,2318,9.55875
36381,2353,9.51025
36381,2679,10.6244
36381,2971,10.63508
36381,3026,9.22215
36381,3036,8.24423
36381,3114,10.406
36381,3121,10.61132
36381,3124,7.78439
36381,3363,9.54072
36381,3364,10.31634
36381,3562,10.59666
36381,3970,9.19043
36381,3986,9.6426
36381,4044,5.26769
36381,4244,10.81173
36381,1048,7.60046
46163,58,10.2161
46163,110,10.24163
46163,149,11.29536
46163,411,10.49563
46163,475,11.57456
46163,770,11.44817
46163,772,10.98359
46163,813,10.90005
46163,935,11.24319
46163,976,7.78847
46163,1057,7.61978
46163,1072,11.39332
46163,1096,10.16923
46163,1121,11.57532
46163,1279,11.69363
46163,1339,11.66024
46163,1493,8.02796
46163,1511,11.46837
46163,1534,6.65589
46163,1751,10.28094
46163,1886,10.15285
46163,2129,9.45698
46163,2253,11.65977
46163,2318,11.59947
46163,2353,11.11422
46163,2679,10.17803
46163,2971,10.19919
46163,3026,11.02421
46163,3036,9.77258
46163,3114,10.49053
46163,3121,10.13902
46163,3124,7.8172
46163,3363,11.69097
46163,3364,10.12564
46163,3562,10.13968
46163,3970,11.07958
46163,3986,10.84725
46163,4044,5.44537
46163,4244,10.37013
46163,1048,9.6359
58562,58,7.46892
58562,110,7.44473
58562,149,6.05554
58562,411,7.02531
58562,475,6.12356
58562,770,6.12209
58562,772,6.05033
58562,813,5.97097
58562,935,5.79505
58562,976,9.41431
58562,1057,6.88574
58562,1072,6.12385
58562,1096,5.37067
58562,1121,6.11488
58562,1279,6.13509
58562,1339,6.14132
58562,1493,8.83273
58562,1511,6.10888
58562,1534,7.91756
58562,1751,7.29053
58562,1886,7.54483
58562,2129,7.89543
58562,2253,6.13391
58562,2318,6.11428
58562,2353,6.02908
58562,2679,7.50278
58562,2971,7.47861
58562,3026,6.0896
58562,3036,5.67846
58562,3114,7.03369
58562,3121,7.56277
58562,3124,7.85261
58562,3363,6.11628
58562,3364,7.27247
58562,3562,7.54102
58562,3970,6.01766
58562,3986,6.19483
58562,4044,5.6017
58562,4244,7.4283
58562,1048,4.59663
39217,58,7.00142
39217,110,6.99161
39217,149,6.20076
39217,411,6.62915
39217,475,6.43542
39217,770,6.34867
39217,772,5.99898
39217,813,5.89456
39217,935,6.04012
39217,976,8.11243
39217,1057,10.66212
39217,1072,6.31353
39217,1096,5.11136
39217,1121,6.42901
39217,1279,6.5337
39217,1339,6.51314
39217,1493,7.33066
39217,1511,6.35217
39217,1534,6.8838
39217,1751,6.79381
39217,1886,7.0541
39217,2129,6.89511
39217,2253,6.50499
39217,2318,6.44509
39217,2353,6.0665
39217,2679,7.01221
39217,2971,6.99695
39217,3026,7.06731
39217,3036,7.77922
39217,3114,6.63563
39217,3121,7.06821
39217,3124,10.06486
39217,3363,6.51084
39217,3364,6.63811
39217,3562,7.03021
39217,3970,6.96929
39217,3986,6.02311
39217,4044,11.57464
39217,4244,7.16686
39217,1048,6.51294
46124,58,11.67546
46124,110,11.70095
46124,149,12.76146
46124,411,11.95328
46124,475,13.03676
46124,770,12.9114
46124,772,12.44846
46124,813,12.36643
46124,935,12.72214
46124,976,9.25219
46124,1057,9.10157
46124,1072,12.85661
46124,1096,11.64135
46124,1121,13.03825
46124,1279,13.15115
46124,1339,13.11864
46124,1493,9.48857
46124,1511,12.93228
46124,1534,8.1163
46124,1751,11.73919
46124,1886,11.61248
46124,2129,10.91563
46124,2253,13.11884
46124,2318,13.06218
46124,2353,12.58025
46124,2679,11.63742
46124,2971,11.6585
